# packages in environment at /Users/mwt/miniconda3/envs/openforcefield-0.8.0:
#
# Name                    Version                   Build  Channel
amberlite                 16.0                     pypi_0    pypi
ambertools                20.9                     pypi_0    pypi
appnope                   0.1.2            py37hf985489_1    conda-forge
argon2-cffi               20.1.0           py37h4b544eb_2    conda-forge
arpack                    3.7.0                hff0ca13_2    conda-forge
async_generator           1.10                       py_0    conda-forge
attrs                     20.3.0             pyhd3deb0d_0    conda-forge
backcall                  0.2.0              pyh9f0ad1d_0    conda-forge
backports                 1.0                        py_2    conda-forge
backports.functools_lru_cache 1.6.1                      py_0    conda-forge
bleach                    3.2.1              pyh9f0ad1d_0    conda-forge
boost                     1.74.0           py37h6f8fa6c_2    conda-forge
boost-cpp                 1.74.0               hd067f63_1    conda-forge
brotlipy                  0.7.0           py37h395d20d_1001    conda-forge
bson                      0.5.9                      py_0    conda-forge
bzip2                     1.0.8                hc929b4f_4    conda-forge
c-ares                    1.17.1               hc929b4f_0    conda-forge
ca-certificates           2020.12.5            h033912b_0    conda-forge
cairo                     1.16.0            h4ec454a_1007    conda-forge
certifi                   2020.12.5        py37hf985489_1    conda-forge
cffi                      1.14.4           py37hc5b2277_1    conda-forge
chardet                   4.0.0            py37hf985489_1    conda-forge
cryptography              3.3.1            py37haf76d9e_0    conda-forge
curl                      7.71.1               hcb81553_8    conda-forge
cycler                    0.10.0                     py_2    conda-forge
cython                    0.29.21          py37h54c7649_2    conda-forge
decorator                 4.4.2                      py_0    conda-forge
defusedxml                0.6.0                      py_0    conda-forge
entrypoints               0.3             pyhd8ed1ab_1003    conda-forge
fftw                      3.3.8           nompi_h27769e0_1114    conda-forge
fontconfig                2.13.1            h07ff6b0_1003    conda-forge
freetype                  2.10.4               h3f75d11_0    conda-forge
gettext                   0.19.8.1          h7937167_1005    conda-forge
hdf4                      4.2.13            h71d84a9_1004    conda-forge
hdf5                      1.10.6          nompi_h34ad4e8_1111    conda-forge
icu                       68.1                 h74dc148_0    conda-forge
idna                      2.10               pyh9f0ad1d_0    conda-forge
importlib-metadata        3.3.0            py37hf985489_3    conda-forge
importlib_metadata        3.3.0                hd8ed1ab_3    conda-forge
